2022-05-20,UST-USD
Time,Price,UnixTime
00:58:58.040790Z,0.07538,1653008338.04079
00:59:28.118995Z,0.07539,1653008368.118995
00:59:32.853989Z,0.07527,1653008372.853989
01:00:02.644045Z,0.07531,1653008402.644045
01:00:16.430426Z,0.07559,1653008416.430426
01:00:20.672050Z,0.07536,1653008420.67205
01:00:41.635503Z,0.07559,1653008441.635503
01:00:46.746284Z,0.0756,1653008446.746284
01:00:57.731020Z,0.0754,1653008457.73102
01:01:02.601898Z,0.07558,1653008462.601898
01:01:06.755193Z,0.07543,1653008466.755193
01:01:19.684580Z,0.07558,1653008479.68458
01:01:29.018209Z,0.07559,1653008489.018209
01:01:34.372383Z,0.07558,1653008494.372383
01:01:45.794441Z,0.07559,1653008505.794441
01:01:49.515102Z,0.07556,1653008509.515102
01:02:04.411258Z,0.07556,1653008524.411258
01:02:16.405015Z,0.07546,1653008536.405015
01:02:21.959302Z,0.0758,1653008541.959302
01:02:55.403674Z,0.0758,1653008575.403674
01:02:59.055042Z,0.07558,1653008579.055042
01:03:23.156557Z,0.0758,1653008603.156557
01:03:30.699673Z,0.0758,1653008610.699673
01:03:44.915028Z,0.0758,1653008624.915028
01:04:01.032843Z,0.07579,1653008641.032843
01:04:09.049211Z,0.07563,1653008649.049211
01:04:13.460847Z,0.07579,1653008653.460847
01:04:27.256526Z,0.07579,1653008667.256526
01:04:29.884401Z,0.0758,1653008669.884401
01:04:43.106305Z,0.0758,1653008683.106305
01:04:45.884461Z,0.07563,1653008685.884461
01:05:00.266388Z,0.07571,1653008700.266388
01:05:12.880861Z,0.07571,1653008712.880861
01:05:20.228310Z,0.07564,1653008720.22831
01:05:26.507518Z,0.0758,1653008726.507518
01:05:51.667372Z,0.0758,1653008751.667372
01:05:57.399534Z,0.07564,1653008757.399534
01:06:07.552313Z,0.07579,1653008767.552313
01:06:12.391801Z,0.07579,1653008772.391801
01:06:18.045325Z,0.07579,1653008778.045325
01:06:29.216772Z,0.07563,1653008789.216772
01:06:57.962665Z,0.0758,1653008817.962665
01:07:19.879209Z,0.07563,1653008839.879209
01:07:33.269623Z,0.07563,1653008853.269623
01:07:37.064563Z,0.07563,1653008857.064563
01:08:17.733735Z,0.07591,1653008897.733735
01:08:45.141813Z,0.07564,1653008925.141813
01:09:04.211551Z,0.07564,1653008944.211551
01:09:10.580306Z,0.07565,1653008950.580306
01:09:36.532368Z,0.07582,1653008976.532368
01:09:57.789975Z,0.07582,1653008997.789975
01:10:14.787070Z,0.07582,1653009014.78707
01:10:31.229704Z,0.07581,1653009031.229704
01:11:01.555903Z,0.07555,1653009061.555903
01:11:16.991854Z,0.07543,1653009076.991854
01:11:27.384922Z,0.07575,1653009087.384922
01:11:32.898482Z,0.07546,1653009092.898482
01:11:39.325276Z,0.07544,1653009099.325276
01:11:51.997587Z,0.07546,1653009111.997587
01:12:02.880147Z,0.07572,1653009122.880147
01:12:17.470909Z,0.07572,1653009137.470909
01:12:28.489501Z,0.07549,1653009148.489501
01:12:44.278451Z,0.07582,1653009164.278451
01:13:06.588635Z,0.07581,1653009186.588635
01:13:34.485138Z,0.07582,1653009214.485138
01:13:50.547751Z,0.07582,1653009230.547751
01:14:19.299747Z,0.07557,1653009259.299747
01:14:23.531952Z,0.07582,1653009263.531952
01:14:54.099473Z,0.07582,1653009294.099473
01:15:06.173007Z,0.07569,1653009306.173007
01:15:08.216567Z,0.07566,1653009308.216567
01:15:15.491504Z,0.07582,1653009315.491504
01:15:50.363053Z,0.07582,1653009350.363053
01:15:55.547698Z,0.07567,1653009355.547698
01:16:28.518490Z,0.07566,1653009388.51849
01:16:36.243382Z,0.07582,1653009396.243382
01:16:50.673251Z,0.07582,1653009410.673251
01:16:54.765111Z,0.07582,1653009414.765111
01:17:03.601101Z,0.07558,1653009423.601101
01:17:10.924928Z,0.07582,1653009430.924928
01:17:26.685801Z,0.07555,1653009446.685801
01:17:43.144807Z,0.0758,1653009463.144807
01:17:49.117427Z,0.0758,1653009469.117427
01:17:53.267569Z,0.0758,1653009473.267569
01:18:25.706354Z,0.0756,1653009505.706354
01:19:29.783736Z,0.0756,1653009569.783736
01:19:59.380900Z,0.07561,1653009599.3809
01:20:01.692777Z,0.0758,1653009601.692777
01:20:30.035321Z,0.07581,1653009630.035321
01:20:37.240869Z,0.0758,1653009637.240869
01:20:50.985662Z,0.0758,1653009650.985662
01:20:57.469118Z,0.0756,1653009657.469118
01:21:06.747139Z,0.0756,1653009666.747139
01:21:11.858705Z,0.07579,1653009671.858705
01:21:13.803339Z,0.0756,1653009673.803339
01:21:22.294733Z,0.07579,1653009682.294733
01:21:50.789714Z,0.0756,1653009710.789714
01:21:59.323562Z,0.0756,1653009719.323562
01:22:27.417990Z,0.0756,1653009747.41799
01:22:32.918199Z,0.0758,1653009752.918199
01:22:40.483559Z,0.07562,1653009760.483559
01:22:46.100660Z,0.07582,1653009766.10066
01:22:48.650487Z,0.07581,1653009768.650487
01:22:57.309335Z,0.0758,1653009777.309335
01:23:10.918566Z,0.0758,1653009790.918566
01:23:21.261410Z,0.0758,1653009801.26141
01:23:28.695669Z,0.0758,1653009808.695669
01:23:31.999470Z,0.0758,1653009811.99947
01:23:36.318588Z,0.0758,1653009816.318588
01:23:43.204082Z,0.07572,1653009823.204082
