2022-05-21,BTC-USD
Time,Price,UnixTime
00:24:15.008079Z,29224.35,1653092655.008079
00:24:19.321179Z,29230.03,1653092659.321179
00:24:25.396968Z,29237.05,1653092665.396968
00:24:29.930029Z,29233.62,1653092669.930029
00:24:33.854271Z,29239.76,1653092673.854271
00:24:40.128848Z,29239.88,1653092680.128848
00:24:45.361692Z,29233.24,1653092685.361692
00:24:47.344442Z,29230.86,1653092687.344442
00:24:54.938972Z,29230.87,1653092694.938972
00:24:58.760963Z,29230.87,1653092698.760963
00:25:05.375714Z,29232.96,1653092705.375714
00:25:08.922859Z,29232.96,1653092708.922859
00:25:14.435279Z,29232.96,1653092714.435279
00:25:20.863795Z,29225,1653092720.863795
00:25:25.659682Z,29228.89,1653092725.659682
00:25:30.720059Z,29236.26,1653092730.720059
00:25:33.958476Z,29241.23,1653092733.958476
00:25:40.224869Z,29248.35,1653092740.224869
00:25:44.201347Z,29251.86,1653092744.201347
00:25:48.998809Z,29253.03,1653092748.998809
00:25:53.259114Z,29253.66,1653092753.259114
00:26:00.867562Z,29253.18,1653092760.867562
00:26:04.767241Z,29262.47,1653092764.767241
00:26:10.395153Z,29267.86,1653092770.395153
00:26:14.646519Z,29266.73,1653092774.646519
00:26:21.362837Z,29272.66,1653092781.362837
00:26:24.770025Z,29291.2,1653092784.770025
00:26:30.951770Z,29277.09,1653092790.95177
00:26:34.363744Z,29280.91,1653092794.363744
00:26:39.788853Z,29281.18,1653092799.788853
00:26:44.631114Z,29283.43,1653092804.631114
00:26:50.813659Z,29289.47,1653092810.813659
00:26:53.927739Z,29285.7,1653092813.927739
00:27:00.894765Z,29282.63,1653092820.894765
00:27:05.302564Z,29286.43,1653092825.302564
00:27:09.583358Z,29285.36,1653092829.583358
00:27:14.668511Z,29286.96,1653092834.668511
00:27:19.810671Z,29286.97,1653092839.810671
00:27:25.286521Z,29293.75,1653092845.286521
00:27:30.555256Z,29293.89,1653092850.555256
00:27:35.969025Z,29287.43,1653092855.969025
00:27:40.912627Z,29282.36,1653092860.912627
00:27:45.643020Z,29279.46,1653092865.64302
00:27:51.515405Z,29279.46,1653092871.515405
00:27:55.830889Z,29279.46,1653092875.830889
00:28:00.710148Z,29279.46,1653092880.710148
00:28:05.663302Z,29279.45,1653092885.663302
00:28:10.246894Z,29279.46,1653092890.246894
00:28:16.375337Z,29272.77,1653092896.375337
00:28:21.136596Z,29278.07,1653092901.136596
00:28:26.259991Z,29285.39,1653092906.259991
00:28:30.220478Z,29287.77,1653092910.220478
00:28:36.811619Z,29293.59,1653092916.811619
00:28:41.523272Z,29312.34,1653092921.523272
00:28:46.312055Z,29304.71,1653092926.312055
00:28:51.323293Z,29309.61,1653092931.323293
00:28:55.661905Z,29307.35,1653092935.661905
00:29:00.814671Z,29305.92,1653092940.814671
00:29:05.916518Z,29316.94,1653092945.916518
00:29:10.273302Z,29313.05,1653092950.273302
00:29:16.255949Z,29317.33,1653092956.255949
00:29:21.393402Z,29316.2,1653092961.393402
00:29:26.707821Z,29311.81,1653092966.707821
00:29:32.118020Z,29295.81,1653092972.11802
00:29:36.281119Z,29297.93,1653092976.281119
00:29:42.264600Z,29297.83,1653092982.2646
00:29:47.386609Z,29296.59,1653092987.386609
00:29:52.096182Z,29296.16,1653092992.096182
