2022-05-20,ETH-USD
Time,Price,UnixTime
00:30:00.154179Z,2005.37,1653006600.154179
00:30:09.553441Z,2004.16,1653006609.553441
00:30:14.849038Z,2004.35,1653006614.849038
00:30:19.420553Z,2005.5,1653006619.420553
00:30:24.983987Z,2005.03,1653006624.983987
00:30:29.438545Z,2004.72,1653006629.438545
00:30:32.670914Z,2005.04,1653006632.670914
00:30:38.597039Z,2005.28,1653006638.597039
00:30:44.001649Z,2006.13,1653006644.001649
00:30:48.996638Z,2007.23,1653006648.996638
00:30:54.386647Z,2007.02,1653006654.386647
00:30:59.388839Z,2007.08,1653006659.388839
00:31:03.742218Z,2007.6,1653006663.742218
00:31:09.382722Z,2006.84,1653006669.382722
00:31:13.977918Z,2007.47,1653006673.977918
00:31:19.036088Z,2007.87,1653006679.036088
00:31:23.109475Z,2008.18,1653006683.109475
00:31:29.007667Z,2008.67,1653006689.007667
00:31:33.568992Z,2008.4,1653006693.568992
00:31:39.640029Z,2009.39,1653006699.640029
00:31:43.328931Z,2009.31,1653006703.328931
00:31:48.237330Z,2009.21,1653006708.23733
00:31:53.908052Z,2009.47,1653006713.908052
00:31:59.802060Z,2010.1,1653006719.80206
00:32:03.356040Z,2009.82,1653006723.35604
00:32:09.175470Z,2009.39,1653006729.17547
00:32:15.462328Z,2009.35,1653006735.462328
00:32:20.005667Z,2009.47,1653006740.005667
00:32:25.243254Z,2009.1,1653006745.243254
00:32:29.523834Z,2008.61,1653006749.523834
00:32:35.952300Z,2008.58,1653006755.9523
00:32:39.694012Z,2008.74,1653006759.694012
00:32:44.304179Z,2008.99,1653006764.304179
00:32:49.820296Z,2007.99,1653006769.820296
00:32:53.903273Z,2007.98,1653006773.903273
00:33:00.551143Z,2008.17,1653006780.551143
00:33:06.092576Z,2008.17,1653006786.092576
00:33:11.014473Z,2008.18,1653006791.014473
00:33:16.331358Z,2008.39,1653006796.331358
00:33:20.718093Z,2007.25,1653006800.718093
00:33:26.261495Z,2007.97,1653006806.261495
00:33:30.606471Z,2007.29,1653006810.606471
00:33:36.573946Z,2007.2,1653006816.573946
00:33:39.328649Z,2007.21,1653006819.328649
00:33:45.710058Z,2007.31,1653006825.710058
00:33:51.370880Z,2007.3,1653006831.37088
00:33:54.690147Z,2007.77,1653006834.690147
00:34:02.026678Z,2008.06,1653006842.026678
00:34:03.538792Z,2008.49,1653006843.538792
00:34:12.074272Z,2008.26,1653006852.074272
00:34:16.093884Z,2008.12,1653006856.093884
00:34:21.031819Z,2008.24,1653006861.031819
00:34:26.341743Z,2008.87,1653006866.341743
00:34:32.208348Z,2008.9,1653006872.208348
00:34:37.172974Z,2008.59,1653006877.172974
00:34:40.245529Z,2008.53,1653006880.245529
00:34:47.601768Z,2008.1,1653006887.601768
00:34:52.286355Z,2008.5,1653006892.286355
00:34:55.100890Z,2008.5,1653006895.10089
00:35:01.119645Z,2008.27,1653006901.119645
00:35:07.588372Z,2007.78,1653006907.588372
00:35:11.741496Z,2008.14,1653006911.741496
00:35:17.268329Z,2007.5,1653006917.268329
00:35:21.751903Z,2007.05,1653006921.751903
00:35:27.148998Z,2007.09,1653006927.148998
00:35:31.381165Z,2007.11,1653006931.381165
00:35:36.415868Z,2007.59,1653006936.415868
00:35:41.330653Z,2007.57,1653006941.330653
00:35:46.415857Z,2008,1653006946.415857
00:35:52.779101Z,2008.02,1653006952.779101
00:35:57.942636Z,2008.04,1653006957.942636
00:36:01.166118Z,2008.04,1653006961.166118
00:36:08.230669Z,2008.03,1653006968.230669
00:36:10.052583Z,2008.11,1653006970.052583
00:36:18.305834Z,2007.24,1653006978.305834
00:36:21.893524Z,2008.11,1653006981.893524
00:36:27.009758Z,2008.28,1653006987.009758
00:36:33.443147Z,2009.15,1653006993.443147
00:36:37.958797Z,2008.68,1653006997.958797
00:36:41.530810Z,2009.4,1653007001.53081
00:36:47.673030Z,2010.15,1653007007.67303
00:36:52.946456Z,2009.97,1653007012.946456
00:36:57.898067Z,2010.28,1653007017.898067
00:37:02.217738Z,2010.05,1653007022.217738
00:37:08.925165Z,2010.05,1653007028.925165
00:37:13.878315Z,2010.01,1653007033.878315
00:37:18.307619Z,2009.96,1653007038.307619
00:37:21.930469Z,2010.5,1653007041.930469
00:37:28.796689Z,2010.38,1653007048.796689
00:37:34.161009Z,2010.6,1653007054.161009
00:37:38.940517Z,2010,1653007058.940517
00:37:42.158635Z,2009.66,1653007062.158635
00:37:46.693713Z,2009.55,1653007066.693713
00:37:53.798599Z,2009.13,1653007073.798599
00:37:57.077678Z,2008.9,1653007077.077678
00:38:03.393455Z,2009.19,1653007083.393455
00:38:08.077807Z,2008.27,1653007088.077807
00:38:13.325362Z,2008.39,1653007093.325362
00:38:19.661921Z,2008.21,1653007099.661921
00:38:20.888746Z,2008.21,1653007100.888746
00:38:27.255036Z,2008.33,1653007107.255036
00:38:33.466127Z,2008.38,1653007113.466127
00:38:39.626897Z,2008.63,1653007119.626897
00:38:44.625311Z,2008.6,1653007124.625311
00:38:46.732894Z,2008.82,1653007126.732894
00:38:54.060928Z,2009.75,1653007134.060928
00:38:58.989299Z,2010.49,1653007138.989299
00:39:03.460370Z,2010.09,1653007143.46037
00:39:09.716565Z,2010.43,1653007149.716565
00:39:13.850831Z,2010.67,1653007153.850831
00:39:19.430636Z,2011.15,1653007159.430636
00:39:23.521293Z,2011.87,1653007163.521293
00:39:29.722333Z,2012.13,1653007169.722333
00:39:34.207307Z,2011.77,1653007174.207307
00:39:39.640036Z,2012.4,1653007179.640036
00:39:44.875859Z,2012.11,1653007184.875859
00:39:48.216016Z,2011.69,1653007188.216016
00:39:52.844414Z,2011.7,1653007192.844414
00:39:59.828504Z,2010.63,1653007199.828504
00:40:04.019612Z,2011.1,1653007204.019612
00:40:07.972766Z,2011.22,1653007207.972766
00:40:13.725673Z,2011.21,1653007213.725673
00:40:17.789232Z,2010.96,1653007217.789232
00:40:25.405438Z,2010.54,1653007225.405438
00:40:28.464895Z,2011.59,1653007228.464895
00:40:35.724370Z,2011,1653007235.72437
00:40:39.447631Z,2010.56,1653007239.447631
00:40:45.457263Z,2010.83,1653007245.457263
00:40:50.689209Z,2011.17,1653007250.689209
